governor,state,year,party
Nelson Dewey,Wisconsin,1851,Democrat
Henry Watkins Collier,Alabama,1850,Democrat
John Selden Roane,Arkansas,1850,Democrat
Peter Hardeman Burnett,California,1850,Independent Democrat
Thomas H. Seymour,Connecticut,1850,Democrat
William Tharp,Delaware,1850,Democrat
Thomas Brown,Florida,1850,Whig
George Washington Towns,Georgia,1850,Democrat
Augustus C. French,Illinois,1850,Democrat
Joseph Albert Wright,Indiana,1850,Democrat
Stephen Hempstead,Iowa,1850,Democrat
John Larue Helm,Kentucky,1850,Whig
Joseph Marshall Walker,Louisiana,1850,Democratic
John Hubbard,Maine,1850,Democrat
Phillip Francis Thomas,Maryland,1850,Democrat
George Nixon Briggs,Massachusetts,1850,Whig
John Stewart Barry,Michigan,1850,Democratic
John Anthony Quitman,Mississippi,1850,Democratic
Austin Augustus King,Missouri,1850,Democratic
Samuel Dinsmoor,New Hampshire,1850,Democratic
Daniel Haines,New Jersey,1850,Democratic
Hamilton Fish,New York,1850,Whig
Charles Manly,North Carolina,1850,Whig
Reuben Wood,Ohio,1850,Democratic
William Freame Johnston,Pennsylvania,1850,Whig
Henry Bowen Anthony,Rhode Island,1850,Whig
John Hugh Means,South Carolina,1850,Democrat
William Trousdale,Tennessee,1850,Democrat
Peter Hansborough Bell,Texas,1850,Democrat
Charles Kilborn Williams,Vermont,1850,Whig
John Buchanan Floyd,Virginia,1850,Democrat
Nelson Dewey,Wisconsin,1850,Democrat
Henry Watkins Collier,Alabama,1849,Democrat
John Selden Roane,Arkansas,1849,Democrat
Peter Hardeman Burnett,California,1849,Independent Democrat
Joseph Trumbull,Connecticut,1849,Whig
William Tharp,Delaware,1849,Democrat
Thomas Brown,Florida,1849,Whig
George Washington Towns,Georgia,1849,Democrat
Augustus C. French,Illinois,1849,Democrat
Joseph Albert Wright,Indiana,1849,Democrat
Ansel Briggs,Iowa,1849,Democrat
John Jordan Crittenden,Kentucky,1849,Whig
Isaac Johnson,Louisiana,1849,Democratic
John Winchester Dana,Maine,1849,Democrat
Phillip Francis Thomas,Maryland,1849,Democrat
George Nixon Briggs,Massachusetts,1849,Whig
Epaphroditus Ransom,Michigan,1849,Democratic
Joseph W. Matthews,Mississippi,1849,Democratic
Austin Augustus King,Missouri,1849,Democratic
Samuel Dinsmoor,New Hampshire,1849,Democratic
Daniel Haines,New Jersey,1849,Democratic
Hamilton Fish,New York,1849,Whig
Charles Manly,North Carolina,1849,Whig
Seabury Ford,Ohio,1849,Whig
William Freame Johnston,Pennsylvania,1849,Whig
Henry Bowen Anthony,Rhode Island,1849,Whig
Whitemarsh Benjamin Seabrook,South Carolina,1849,Democrat
William Trousdale,Tennessee,1849,Democrat
Peter Hansborough Bell,Texas,1849,Democrat
Carlos Coolidge,Vermont,1849,Whig
John Buchanan Floyd,Virginia,1849,Democrat
Nelson Dewey,Wisconsin,1849,Democrat
Reuben Chapman,Alabama,1848,Democrat
Thomas Stevenson Drew,Arkansas,1848,Democrat
Clark Bissell,Connecticut,1848,Whig
William Tharp,Delaware,1848,Democrat
William Dunn Moseley,Florida,1848,Democrat
George Washington Towns,Georgia,1848,Democrat
Augustus C. French,Illinois,1848,Democrat
Paris Chipman Dunning,Indiana,1848,Democrat
Ansel Briggs,Iowa,1848,Democrat
John Jordan Crittenden,Kentucky,1848,Whig
Isaac Johnson,Louisiana,1848,Democratic
John Winchester Dana,Maine,1848,Democrat
Phillip Francis Thomas,Maryland,1848,Democrat
George Nixon Briggs,Massachusetts,1848,Whig
Epaphroditus Ransom,Michigan,1848,Democratic
Joseph W. Matthews,Mississippi,1848,Democratic
Austin Augustus King,Missouri,1848,Democratic
Jared Warner Williams,New Hampshire,1848,Democratic
Daniel Haines,New Jersey,1848,Democratic
John Young,New York,1848,Whig
William Alexander Graham,North Carolina,1848,Whig
William Bebb,Ohio,1848,Whig
William Freame Johnston,Pennsylvania,1848,Whig
Elisha Harris,Rhode Island,1848,Whig
Whitemarsh Benjamin Seabrook,South Carolina,1848,Democrat
Neill Smith Brown,Tennessee,1848,Whig; Know-Nothing
George T. Wood,Texas,1848,Democrat
Carlos Coolidge,Vermont,1848,Whig
John Buchanan Floyd,Virginia,1848,Democrat
Nelson Dewey,Wisconsin,1848,Democrat
Reuben Chapman,Alabama,1847,Democrat
Thomas Stevenson Drew,Arkansas,1847,Democrat
Clark Bissell,Connecticut,1847,Whig
William Tharp,Delaware,1847,Democrat
William Dunn Moseley,Florida,1847,Democrat
George Washington Towns,Georgia,1847,Democrat
Augustus C. French,Illinois,1847,Democrat
James Whitcomb,Indiana,1847,Democrat
Ansel Briggs,Iowa,1847,Democrat
William Owsley,Kentucky,1847,Whig
Isaac Johnson,Louisiana,1847,Democratic
John Winchester Dana,Maine,1847,Democrat
Thomas George Pratt,Maryland,1847,Whig; Democrat
George Nixon Briggs,Massachusetts,1847,Whig
William L. Greenly,Michigan,1847,Democratic
Albert Gallatin Brown,Mississippi,1847,Democratic
John Cummins Edwards,Missouri,1847,Democratic
Jared Warner Williams,New Hampshire,1847,Democratic
Charles Creighton Stratton,New Jersey,1847,Whig
John Young,New York,1847,Whig
William Alexander Graham,North Carolina,1847,Whig
William Bebb,Ohio,1847,Whig
Francis Rawn Shunk,Pennsylvania,1847,Jacksonian Democrat
Elisha Harris,Rhode Island,1847,Whig
David Johnson,South Carolina,1847,Democrat
Neill Smith Brown,Tennessee,1847,Whig; Know-Nothing
George T. Wood,Texas,1847,Democrat
Horace Eaton,Vermont,1847,Whig
William Smith,Virginia,1847,Democrat
Joshua Lanier Martin,Alabama,1846,Independent
Thomas Stevenson Drew,Arkansas,1846,Democrat
Isaac Toucey,Connecticut,1846,Democrat
William Temple,Delaware,1846,Whig
William Dunn Moseley,Florida,1846,Democrat
George Walker Crawford,Georgia,1846,Whig
Augustus C. French,Illinois,1846,Democrat
James Whitcomb,Indiana,1846,Democrat
Ansel Briggs,Iowa,1846,Democrat
William Owsley,Kentucky,1846,Whig
Isaac Johnson,Louisiana,1846,Democratic
Hugh Johnson Anderson,Maine,1846,Democrat
Thomas George Pratt,Maryland,1846,Whig; Democrat
George Nixon Briggs,Massachusetts,1846,Whig
Alpheus Felch,Michigan,1846,Democratic
Albert Gallatin Brown,Mississippi,1846,Democratic
John Cummins Edwards,Missouri,1846,Democratic
Anthony Colby,New Hampshire,1846,Whig
Charles Creighton Stratton,New Jersey,1846,Whig
Silas Wright,New York,1846,Democratic
William Alexander Graham,North Carolina,1846,Whig
William Bebb,Ohio,1846,Whig
Francis Rawn Shunk,Pennsylvania,1846,Jacksonian Democrat
Byron Diman,Rhode Island,1846,Whig
David Johnson,South Carolina,1846,Democrat
Aaron Venable Brown,Tennessee,1846,Democrat
James Pinckney Henderson,Texas,1846,Democrat
Horace Eaton,Vermont,1846,Whig
William Smith,Virginia,1846,Democrat
Joshua Lanier Martin,Alabama,1845,Independent
Thomas Stevenson Drew,Arkansas,1845,Democrat
Roger Sherman Baldwin,Connecticut,1845,Whig
Thomas Stockton,Delaware,1845,Whig
William Dunn Moseley,Florida,1845,Democrat
George Walker Crawford,Georgia,1845,Whig
Thomas Ford,Illinois,1845,Democrat
James Whitcomb,Indiana,1845,Democrat
William Owsley,Kentucky,1845,Whig
Alexandre Mouton,Louisiana,1845,Democratic
Hugh Johnson Anderson,Maine,1845,Democrat
Thomas George Pratt,Maryland,1845,Whig; Democrat
George Nixon Briggs,Massachusetts,1845,Whig
John Stewart Barry,Michigan,1845,Democratic
Albert Gallatin Brown,Mississippi,1845,Democratic
John Cummins Edwards,Missouri,1845,Democratic
John Hardy Steele,New Hampshire,1845,Democratic
Charles Creighton Stratton,New Jersey,1845,Whig
Silas Wright,New York,1845,Democratic
William Alexander Graham,North Carolina,1845,Whig
Mordecai Bartley,Ohio,1845,Whig
Francis Rawn Shunk,Pennsylvania,1845,Jacksonian Democrat
Charles Jackson,Rhode Island,1845,Whig
William Aiken,South Carolina,1845,Democrat
Aaron Venable Brown,Tennessee,1845,Democrat
William Slade,Vermont,1845,Whig
James McDowell,Virginia,1845,Democrat
Benjamin Fitzpatrick,Alabama,1844,Democrat
Thomas Stevenson Drew,Arkansas,1844,Democrat
Roger Sherman Baldwin,Connecticut,1844,Whig
William Barkley Cooper,Delaware,1844,Whig
George Walker Crawford,Georgia,1844,Whig
Thomas Ford,Illinois,1844,Democrat
James Whitcomb,Indiana,1844,Democrat
William Owsley,Kentucky,1844,Whig
Alexandre Mouton,Louisiana,1844,Democratic
Hugh Johnson Anderson,Maine,1844,Democrat
Francis Thomas,Maryland,1844,Democrat; Unionist; Republican
George Nixon Briggs,Massachusetts,1844,Whig
John Stewart Barry,Michigan,1844,Democratic
Albert Gallatin Brown,Mississippi,1844,Democratic
John Cummins Edwards,Missouri,1844,Democratic
John Hardy Steele,New Hampshire,1844,Democratic
Daniel Haines,New Jersey,1844,Democratic
William C. Bouck,New York,1844,Democratic
John Motley Morehead,North Carolina,1844,Whig
Mordecai Bartley,Ohio,1844,Whig
David Rittenhouse Porter,Pennsylvania,1844,Democratic-Republican (Jacksonian Democrat)
James Fenner,Rhode Island,1844,F-R; Whig
William Aiken,South Carolina,1844,Democrat
James Chamberlain Jones,Tennessee,1844,Whig
William Slade,Vermont,1844,Whig
James McDowell,Virginia,1844,Democrat
Benjamin Fitzpatrick,Alabama,1843,Democrat
Archibald Yell,Arkansas,1843,Democrat
Chauncey Fitch Cleveland,Connecticut,1843,Democrat
William Barkley Cooper,Delaware,1843,Whig
George Walker Crawford,Georgia,1843,Whig
Thomas Ford,Illinois,1843,Democrat
James Whitcomb,Indiana,1843,Democrat
Robert Perkins Letcher,Kentucky,1843,Whig
Alexandre Mouton,Louisiana,1843,Democratic
Edward Kavanagh,Maine,1843,Democrat
Francis Thomas,Maryland,1843,Democrat; Unionist; Republican
Marcus Morton,Massachusetts,1843,Democratic-Republican
John Stewart Barry,Michigan,1843,Democratic
Tilghman Mayfield Tucker,Mississippi,1843,Democratic
Thomas Reynolds,Missouri,1843,Democratic
Henry Hubbard,New Hampshire,1843,Democratic
Daniel Haines,New Jersey,1843,Democratic
William C. Bouck,New York,1843,Democratic
John Motley Morehead,North Carolina,1843,Whig
Wilson Shannon,Ohio,1843,Democratic
David Rittenhouse Porter,Pennsylvania,1843,Democratic-Republican (Jacksonian Democrat)
James Fenner,Rhode Island,1843,F-R; Whig
James Henry Hammond,South Carolina,1843,Democrat
James Chamberlain Jones,Tennessee,1843,Whig
John Mattocks,Vermont,1843,Whig
James McDowell,Virginia,1843,Democrat
Benjamin Fitzpatrick,Alabama,1842,Democrat
Archibald Yell,Arkansas,1842,Democrat
Chauncey Fitch Cleveland,Connecticut,1842,Democrat
William Barkley Cooper,Delaware,1842,Whig
Charles James McDonald,Georgia,1842,"Democrat (Union, then states' rights)"
Thomas Ford,Illinois,1842,Democrat
Samuel Bigger,Indiana,1842,Whig
Robert Perkins Letcher,Kentucky,1842,Whig
Andre Bienvenu Roman,Louisiana,1842,Whig
John Fairfield,Maine,1842,Democrat
Francis Thomas,Maryland,1842,Democrat; Unionist; Republican
John Davis,Massachusetts,1842,"Republican, Whig"
John Stewart Barry,Michigan,1842,Democratic
Tilghman Mayfield Tucker,Mississippi,1842,Democratic
Thomas Reynolds,Missouri,1842,Democratic
Henry Hubbard,New Hampshire,1842,Democratic
William Henry Seward,New York,1842,Whig
John Motley Morehead,North Carolina,1842,Whig
Wilson Shannon,Ohio,1842,Democratic
David Rittenhouse Porter,Pennsylvania,1842,Democratic-Republican (Jacksonian Democrat)
Samuel King,Rhode Island,1842,Whig
James Henry Hammond,South Carolina,1842,Democrat
James Chamberlain Jones,Tennessee,1842,Whig
Charles Paine,Vermont,1842,Whig
John Munford Gregory,Virginia,1842,Whig
Benjamin Fitzpatrick,Alabama,1841,Democrat
Archibald Yell,Arkansas,1841,Democrat
William Wolcott Ellsworth,Connecticut,1841,Whig
William Barkley Cooper,Delaware,1841,Whig
Charles James McDonald,Georgia,1841,"Democrat (Union, then states' rights)"
Thomas Carlin,Illinois,1841,Democrat
Samuel Bigger,Indiana,1841,Whig
Robert Perkins Letcher,Kentucky,1841,Whig
Andre Bienvenu Roman,Louisiana,1841,Whig
Edward Kent,Maine,1841,Whig
William Grason,Maryland,1841,Federalist; anti-Jackson Democrat by 1828
John Davis,Massachusetts,1841,"Republican, Whig"
James Wright Gordon,Michigan,1841,Whig
Alexander Gallatin Mcnutt,Mississippi,1841,Democratic
Thomas Reynolds,Missouri,1841,Democratic
John Page,New Hampshire,1841,Democratic
William Henry Seward,New York,1841,Whig
John Motley Morehead,North Carolina,1841,Whig
Thomas Corwin,Ohio,1841,Whig
David Rittenhouse Porter,Pennsylvania,1841,Democratic-Republican (Jacksonian Democrat)
Samuel King,Rhode Island,1841,Whig
John Peter Richardson II,South Carolina,1841,Democrat
James Chamberlain Jones,Tennessee,1841,Whig
Charles Paine,Vermont,1841,Whig
John Rutherfoord,Virginia,1841,Democrat
Arthur Pendleton Bagby,Alabama,1840,Democrat
Archibald Yell,Arkansas,1840,Democrat
William Wolcott Ellsworth,Connecticut,1840,Whig
Cornelius Parsons Comegys,Delaware,1840,Whig
Charles James McDonald,Georgia,1840,"Democrat (Union, then states' rights)"
Thomas Carlin,Illinois,1840,Democrat
Samuel Bigger,Indiana,1840,Whig
Robert Perkins Letcher,Kentucky,1840,Whig
Andre Bienvenu Roman,Louisiana,1840,Whig
John Fairfield,Maine,1840,Democrat
William Grason,Maryland,1840,Federalist; anti-Jackson Democrat by 1828
Marcus Morton,Massachusetts,1840,Democratic-Republican
William Woodbridge,Michigan,1840,Whig
Alexander Gallatin Mcnutt,Mississippi,1840,Democratic
Thomas Reynolds,Missouri,1840,Democratic
John Page,New Hampshire,1840,Democratic
William Henry Seward,New York,1840,Whig
Edward Bishop Dudley,North Carolina,1840,Whig
Thomas Corwin,Ohio,1840,Whig
David Rittenhouse Porter,Pennsylvania,1840,Democratic-Republican (Jacksonian Democrat)
Samuel King,Rhode Island,1840,Whig
John Peter Richardson II,South Carolina,1840,Democrat
James Knox Polk,Tennessee,1840,Democrat
Silas H. Jension,Vermont,1840,Whig
Thomas Walker Gilmer,Virginia,1840,Whig
Arthur Pendleton Bagby,Alabama,1839,Democrat
James Sevier Conway,Arkansas,1839,Democrat
William Wolcott Ellsworth,Connecticut,1839,Whig
Cornelius Parsons Comegys,Delaware,1839,Whig
Charles James McDonald,Georgia,1839,"Democrat (Union, then states' rights)"
Thomas Carlin,Illinois,1839,Democrat
David Wallace,Indiana,1839,Whig
Charles Anderson Wickliffe,Kentucky,1839,Whig
Andre Bienvenu Roman,Louisiana,1839,Whig
John Fairfield,Maine,1839,Democrat
William Grason,Maryland,1839,Federalist; anti-Jackson Democrat by 1828
Edward Everett,Massachusetts,1839,Whig
Stevens Thomson Mason,Michigan,1839,Democratic
Alexander Gallatin Mcnutt,Mississippi,1839,Democratic
Lilburn W. Boggs,Missouri,1839,Democratic
John Page,New Hampshire,1839,Democratic
William Henry Seward,New York,1839,Whig
Edward Bishop Dudley,North Carolina,1839,Whig
Wilson Shannon,Ohio,1839,Democratic
David Rittenhouse Porter,Pennsylvania,1839,Democratic-Republican (Jacksonian Democrat)
Samuel King,Rhode Island,1839,Whig
Patrick Noble,South Carolina,1839,Democrat
James Knox Polk,Tennessee,1839,Democrat
Silas H. Jension,Vermont,1839,Whig
David Campbell,Virginia,1839,Democrat
Arthur Pendleton Bagby,Alabama,1838,Democrat
James Sevier Conway,Arkansas,1838,Democrat
William Wolcott Ellsworth,Connecticut,1838,Whig
Cornelius Parsons Comegys,Delaware,1838,Whig
George Rockingham Gilmer,Georgia,1838,Democrat-Whig
Thomas Carlin,Illinois,1838,Democrat
David Wallace,Indiana,1838,Whig
James Clark,Kentucky,1838,Whig
Edward Douglass White,Louisiana,1838,Whig
Edward Kent,Maine,1838,Whig
Thomas Ward Veazey,Maryland,1838,Whig
Edward Everett,Massachusetts,1838,Whig
Stevens Thomson Mason,Michigan,1838,Democratic
Alexander Gallatin Mcnutt,Mississippi,1838,Democratic
Lilburn W. Boggs,Missouri,1838,Democratic
Isaac Hill,New Hampshire,1838,Democratic
William Learned Marcy,New York,1838,Jeffersonian Republican
Edward Bishop Dudley,North Carolina,1838,Whig
Wilson Shannon,Ohio,1838,Democratic
Joseph Ritner,Pennsylvania,1838,Anti-Mason
William Sprague,Rhode Island,1838,Whig
Patrick Noble,South Carolina,1838,Democrat
Newton Cannon,Tennessee,1838,Whig
Silas H. Jension,Vermont,1838,Whig
David Campbell,Virginia,1838,Democrat
Arthur Pendleton Bagby,Alabama,1837,Democrat
James Sevier Conway,Arkansas,1837,Democrat
Henry Waggaman Edwards,Connecticut,1837,Democrat
Cornelius Parsons Comegys,Delaware,1837,Whig
George Rockingham Gilmer,Georgia,1837,Democrat-Whig
Joseph Duncan,Illinois,1837,Democrat
David Wallace,Indiana,1837,Whig
James Clark,Kentucky,1837,Whig
Edward Douglass White,Louisiana,1837,Whig
Robert Pinckney Dunlap,Maine,1837,Democrat
Thomas Ward Veazey,Maryland,1837,Whig
Edward Everett,Massachusetts,1837,Whig
Stevens Thomson Mason,Michigan,1837,Democratic
Charles Lynch,Mississippi,1837,"Democrat, later a Whig"
Lilburn W. Boggs,Missouri,1837,Democratic
Isaac Hill,New Hampshire,1837,Democratic
Philemon Dickerson,New Jersey,1837,Democratic
William Learned Marcy,New York,1837,Jeffersonian Republican
Edward Bishop Dudley,North Carolina,1837,Whig
Joseph Vance,Ohio,1837,Whig
Joseph Ritner,Pennsylvania,1837,Anti-Mason
John Brown Francis,Rhode Island,1837,Democratic-Republican
Pierce Mason Butler,South Carolina,1837,Democrat
Newton Cannon,Tennessee,1837,Whig
Silas H. Jension,Vermont,1837,Whig
David Campbell,Virginia,1837,Democrat
Clement Comer Clay,Alabama,1836,Democrat
James Sevier Conway,Arkansas,1836,Democrat
Henry Waggaman Edwards,Connecticut,1836,Democrat
Charles Polk,Delaware,1836,Federalist
William Schley,Georgia,1836,Union Democrat
Joseph Duncan,Illinois,1836,Democrat
Noah Noble,Indiana,1836,Whig
James Clark,Kentucky,1836,Whig
Edward Douglass White,Louisiana,1836,Whig
Robert Pinckney Dunlap,Maine,1836,Democrat
Thomas Ward Veazey,Maryland,1836,Whig
Edward Everett,Massachusetts,1836,Whig
Charles Lynch,Mississippi,1836,"Democrat, later a Whig"
Lilburn W. Boggs,Missouri,1836,Democratic
Isaac Hill,New Hampshire,1836,Democratic
Philemon Dickerson,New Jersey,1836,Democratic
William Learned Marcy,New York,1836,Jeffersonian Republican
Edward Bishop Dudley,North Carolina,1836,Whig
Joseph Vance,Ohio,1836,Whig
Joseph Ritner,Pennsylvania,1836,Anti-Mason
John Brown Francis,Rhode Island,1836,Democratic-Republican
Pierce Mason Butler,South Carolina,1836,Democrat
Newton Cannon,Tennessee,1836,Whig
Silas H. Jension,Vermont,1836,Whig
Wyndham Robertson,Virginia,1836,Whig
Clement Comer Clay,Alabama,1835,Democrat
Henry Waggaman Edwards,Connecticut,1835,Democrat
Caleb Prew Bennett,Delaware,1835,Democrat
William Schley,Georgia,1835,Union Democrat
Joseph Duncan,Illinois,1835,Democrat
Noah Noble,Indiana,1835,Whig
James Turner Morehead,Kentucky,1835,Whig
Edward Douglass White,Louisiana,1835,Whig
Robert Pinckney Dunlap,Maine,1835,Democrat
James Thomas,Maryland,1835,Whig
Samuel Turell Armstrong,Massachusetts,1835,Whig
John Anthony Quitman,Mississippi,1835,Democratic
Daniel Dunklin,Missouri,1835,Democratic
William Badger,New Hampshire,1835,Democratic
Peter Dumont Vroom,New Jersey,1835,Democratic
